DateTime,storyindex,Depth,Length,Framedepth,Dir,Attrib,Sort,Graphic,Image,speed,calclength,Direction,sortname,calspeed,framepos
2025-04-07 14:28,3,132,177,74,TRUE,1,4,,,,79,Up,Rainbow,0.17,11
2025-04-07 14:40,3,95,358,77,TRUE,2,4,,,,57,Up,Rainbow,0.35,9
2025-04-07 14:59,3,140,104,75,TRUE,3,2,,,,84,Up,Not Fish,0.1,10
2025-04-07 15:15,3,107,119,77,TRUE,4,2,,,,64,Up,Not Fish,0.11,9
2025-04-07 15:33,3,85,248,78,TRUE,5,4,,,,51,Up,Rainbow,0.24,9
2025-04-07 15:35,3,105,427,71,TRUE,6,4,,,,63,Up,Rainbow,0.42,12
2025-04-07 15:43,3,122,343,72,TRUE,7,2,,,,73,Up,Not Fish,0.34,12
2025-04-07 15:44,3,105,170,75,FALSE,8,2,,,,63,Down,Not Fish,0.17,10
2025-04-07 16:06,3,115,219,78,TRUE,9,4,,OO,,69,Up,Rainbow,0.21,9
2025-04-07 16:06,0,115,0,0,FALSE,0,4,,,,69,Down,Rainbow,0,49
2025-04-07 16:24,3,122,1071,74,TRUE,10,4,,,,73,Up,Rainbow,1.07,11
2025-04-07 16:27,3,130,134,81,TRUE,11,2,,,,78,Up,Not Fish,0.13,7
2025-04-07 16:27,3,105,303,77,TRUE,12,4,,,,63,Up,Rainbow,0.3,9
2025-04-07 16:27,3,100,476,79,TRUE,13,4,,,,60,Up,Rainbow,0.47,8
2025-04-07 16:33,3,125,409,77,TRUE,14,4,,,,75,Up,Rainbow,0.4,9
2025-04-07 16:47,3,130,346,83,TRUE,15,4,,,,78,Up,Rainbow,0.34,6
2025-04-07 16:48,3,105,174,83,FALSE,16,2,,F@,,63,Down,Not Fish,0.17,6
2025-04-07 16:54,3,97,497,72,TRUE,17,2,,,,58,Up,Not Fish,0.49,12
2025-04-07 16:54,3,70,120,83,TRUE,18,4,,ì,,42,Up,Rainbow,0.12,6
2025-04-07 16:54,0,70,0,0,FALSE,0,4,,,,42,Down,Rainbow,0,49
2025-04-07 16:59,3,120,81,77,TRUE,19,4,,Ò',,72,Up,Rainbow,0.08,9
2025-04-07 17:08,3,92,521,74,TRUE,20,4,,,,55,Up,Rainbow,0.52,11
2025-04-07 17:38,3,100,187,76,FALSE,21,4,,,,60,Down,Rainbow,0.18,10
2025-04-07 17:38,3,122,765,34,TRUE,22,4,,,,73,Up,Rainbow,0.76,31
2025-04-07 17:41,3,80,174,80,FALSE,23,4,,9;,,48,Down,Rainbow,0.17,8
2025-04-07 17:42,3,127,225,69,TRUE,24,2,,¢{,,76,Up,Not Fish,0.22,13
2025-04-07 17:42,3,107,137,78,FALSE,25,4,,,,64,Down,Rainbow,0.13,9
2025-04-07 17:44,3,109,12,67,TRUE,26,2,,,,65,Up,Not Fish,0.01,14
2025-04-07 17:44,3,75,439,48,TRUE,27,4,,,,45,Up,Rainbow,0.43,24
