event_id,ts,video_rel,false_trigger,notes,reviewed_at,species,movement,count
1,2025-10-24 11:44:05,25  10  24  10  33\1.mp4,0,,2026-01-30T15:43:32,Non fish,Down,1.0
2,2025-10-24 12:11:32,25  10  24  10  33\2.mp4,0,,2026-01-30T15:43:46,Non fish,Down,1.0
3,2025-10-24 13:59:19,25  10  24  10  33\3.mp4,0,,2026-01-30T15:44:01,Chinook,Up,1.0
4,2025-10-24 15:21:10,25  10  24  10  33\4.mp4,0,,2026-01-30T15:44:14,Chinook,Up,1.0
5,2025-10-24 15:43:31,25  10  24  10  33\5.mp4,0,,2026-01-30T15:44:27,Chinook,Up,1.0
6,2025-10-24 15:45:03,25  10  24  10  33\6.mp4,0,,2026-01-30T15:44:43,Rainbow,Up,1.0
7,2025-10-24 15:52:43,25  10  24  10  33\7.mp4,0,,2026-01-30T15:45:07,Rainbow,Up,1.0
8,2025-10-24 16:07:19,25  10  24  10  33\8.mp4,0,,2026-01-30T15:45:23,Chinook,Up,1.0
9,2025-10-24 16:18:40,25  10  24  10  33\9.mp4,0,,2026-01-30T15:45:38,Chinook,Up,1.0
10,2025-10-24 16:24:02,25  10  24  10  33\10.mp4,0,,2026-01-30T15:45:53,Chinook,Stay,1.0
11,2025-10-24 16:37:13,25  10  24  10  33\11.mp4,0,,2026-01-30T15:46:06,Chinook,Up,1.0
12,2025-10-24 16:42:15,25  10  24  10  33\12.mp4,0,,2026-01-30T15:46:24,Rainbow,Up,1.0
13,2025-10-24 16:54:03,25  10  24  10  33\13.mp4,0,,2026-01-30T15:46:40,Chinook,Up,1.0
14,2025-10-24 18:02:40,25  10  24  10  33\14.mp4,0,,2026-01-30T15:46:55,Chinook,Up,1.0
15,2025-10-24 18:03:48,,0,,2026-01-30T15:46:58,Non fish,Stay,1.0
16,2025-10-24 18:03:57,25  10  24  10  33\16.mp4,0,,2026-01-30T15:47:13,Chinook,Up,2.0
17,2025-10-24 18:22:36,25  10  24  10  33\17.mp4,0,,2026-01-30T15:47:29,Chinook,Up,1.0
18,2025-10-24 18:41:59,25  10  24  10  33\18.mp4,0,,2026-01-30T15:49:12,Rainbow,Up,1.0
19,2025-10-24 18:48:02,25  10  24  10  33\19.mp4,0,,2026-01-30T15:49:28,Chinook,Up,1.0
20,2025-10-24 18:53:00,25  10  24  10  33\20.mp4,0,,2026-01-30T15:49:45,Rainbow,Up,1.0
21,2025-10-24 21:18:07,25  10  24  10  33\21.mp4,0,,2026-01-30T15:49:59,Chinook,Up,1.0
22,2025-10-24 23:08:14,25  10  24  10  33\22.mp4,0,,2026-01-30T15:50:14,Chinook,Up,1.0
23,2025-10-25 03:30:19,25  10  24  10  33\23.mp4,0,,2026-01-30T15:50:27,Chinook,Up,1.0
24,2025-10-25 07:33:41,25  10  24  10  33\24.mp4,0,,2026-01-30T15:50:56,Non fish,Down,1.0
25,2025-10-25 12:17:24,25  10  24  10  33\25.mp4,0,,2026-01-30T15:51:14,Chinook,Up,1.0
26,2025-10-25 14:16:20,25  10  24  10  33\26.mp4,0,,2026-02-02T08:34:34,Chinook,Up,1.0
27,2025-10-25 14:25:43,25  10  24  10  33\27.mp4,0,,2026-02-02T08:34:57,Rainbow,Up,1.0
28,2025-10-25 14:37:19,25  10  24  10  33\28.mp4,0,,2026-02-02T08:40:40,Rainbow,Up,1.0
29,2025-10-25 14:57:37,25  10  24  10  33\29.mp4,0,,2026-02-02T08:41:18,Chinook,Up,1.0
30,2025-10-25 14:58:21,25  10  24  10  33\30.mp4,0,,2026-02-02T08:41:32,Chinook,Up,1.0
31,2025-10-25 15:17:23,25  10  24  10  33\31.mp4,0,,2026-02-02T08:41:56,Rainbow,Up,1.0
32,2025-10-25 15:46:59,,0,,2026-02-02T08:41:59,Non fish,Stay,1.0
33,2025-10-25 15:47:05,25  10  24  10  33\33.mp4,0,,2026-02-02T08:42:14,Rainbow,Down,1.0
34,2025-10-25 15:47:34,,0,,2026-02-02T08:42:17,Non fish,Stay,1.0
35,2025-10-25 15:47:39,,0,,2026-02-02T08:42:20,Non fish,Stay,1.0
36,2025-10-25 15:47:45,25  10  24  10  33\36.mp4,0,,2026-02-02T08:42:37,Rainbow,Down,1.0
36,2025-10-25 15:47:45,25  10  24  10  33\36.mp4,0,,2026-02-02T08:42:37,Rainbow,Up,1.0
37,2025-10-25 15:49:37,25  10  24  10  33\37.mp4,0,,2026-02-02T08:42:52,Rainbow,Up,1.0
38,2025-10-25 17:25:09,25  10  24  10  33\38.mp4,0,,2026-02-02T08:43:07,Chinook,Up,1.0
39,2025-10-25 18:19:13,25  10  24  10  33\39.mp4,0,,2026-02-02T08:43:22,Chinook,Up,1.0
40,2025-10-25 18:33:32,25  10  24  10  33\40.mp4,0,,2026-02-02T08:43:41,Chinook,Up,1.0
41,2025-10-25 21:51:58,25  10  24  10  33\41.mp4,0,,2026-02-02T08:43:56,Chinook,Up,1.0
42,2025-10-25 22:13:14,25  10  24  10  33\42.mp4,0,,2026-02-02T08:44:10,Chinook,Up,1.0
43,2025-10-25 22:18:26,25  10  24  10  33\43.mp4,0,,2026-02-02T08:44:24,Chinook,Up,1.0
44,2025-10-25 22:40:47,25  10  24  10  33\44.mp4,0,,2026-02-02T08:44:37,Chinook,Up,1.0
